@noteNotMatchingBookmarks               TRUE
@createNewDocumentFromTemplate          encargo.dotx
sitio                                   Madrid
fecha                                   20/20/2002
nom1                                    pepe
nom2                                    sara
dninieuno                               snfib vhsdbnfi
dniniedos                               kdfngkjdfnkdn
domicilio                               calle cleopatra,150,28045
emailCorp1                              juacomadre@gmail.com
tfno                                    564156145
emailCorp2                              pepeito@gmail.com
@saveDocumentAsAndClose                 pepe
